Date,Close,High,Low,Open,Volume,Ticker,Company,Sector,Daily_Return,Weekly_Return,Monthly_Return,MA5,MA10,MA20,EMA,RSI,MACD,BB_High,BB_Low,BB_Mid,Rolling_Volatility,Avg_Daily_Range,Return_30d,Return_60d,Return_90d
2025-11-10,1216.0621337890625,1231.8500065022106,1214.5632897457729,1221.0582806000282,4140568,AXISBANK.NS,Axis Bank,Banking,-0.4743213868323326,-1.281636734161995,3.0831779977322116,1224.775390625,1233.9683227539062,1220.3638244628905,1218.6084698361597,51.89647020138985,12.547741172164024,1272.578346159982,1168.1493027657991,1220.3638244628905,1.0552400097803705,17.493658094654148,1.3311408644525624,9.999998996183601,-0.8216939984125649
2025-11-11,1221.557861328125,1224.0559346641744,1208.467981442474,1217.1612278614307,5615453,AXISBANK.NS,Axis Bank,Banking,0.4519281857694679,-0.9078412410649217,4.719886655160432,1222.537109375,1230.8107543945312,1222.4671997070313,1218.889364263966,54.269125321026465,11.304797656039682,1271.1992896851525,1173.7351097289102,1222.4671997070313,1.035728398027906,16.844160752843095,0.20450680433561352,8.8425384545741,-1.5214646704377555
2025-11-12,1220.6585693359375,1231.7499909053392,1215.562523963644,1226.9537631333974,6782513,AXISBANK.NS,Axis Bank,Banking,-0.07361845235965836,-0.4076265444477589,3.490339082948979,1221.537890625,1228.3426513671875,1224.065966796875,1219.057859985106,53.80148478796064,10.130413515470536,1270.293396343412,1177.838537250338,1224.065966796875,1.0272947160351962,16.80132965345555,0.38474404315758104,9.82317854601693,-4.174852382111949
2025-11-13,1224.2557373046875,1233.8484365397046,1212.264985237154,1218.0605641936236,3345231,AXISBANK.NS,Axis Bank,Banking,0.2946907562126011,-0.26862259743224426,2.9925979387520174,1220.8783935546876,1225.9844604492187,1226.4840942382812,1219.552895920304,55.45498079386775,9.381819243124937,1267.0977590512239,1185.8704294253384,1226.4840942382812,0.9869886602887336,15.859211301117218,0.24485739153341513,9.484178196195604,-2.6526300507632605
2025-11-14,1240.6431884765625,1245.039822195777,1221.058316792327,1223.056775575948,5197740,AXISBANK.NS,Axis Bank,Banking,1.3385643760962518,1.5374558742341504,5.5064525106984785,1224.635498046875,1226.284228515625,1230.0813232421874,1221.5614952113763,62.108511622926876,9.995659502227454,1261.225713727349,1198.9369327570257,1230.0813232421874,0.9981866875533252,16.437335147105582,-0.7731998576453458,9.270290727987396,-1.5705551388621952
2025-11-17,1248.636962890625,1260.028201798564,1239.44410172351,1242.9414044247746,4088026,AXISBANK.NS,Axis Bank,Banking,0.6443250153074453,2.678714203530408,6.83994606631162,1231.1504638671875,1227.9629272460938,1232.7442626953125,1224.1401111808284,64.86536477205956,11.000357840797278,1260.4860850808332,1205.0024403097918,1232.7442626953125,0.8884169298787892,16.772787182025436,-0.2880875767462876,7.81851577608943,-3.55313225339271
2025-11-18,1264.4249267578125,1272.5186606280415,1246.6385943715704,1249.0367693639987,10175969,AXISBANK.NS,Axis Bank,Banking,1.2644158659726124,3.5092128491630126,5.776143018285973,1239.723876953125,1231.1304931640625,1236.0017578125,1227.9767602833983,69.57381880046485,12.921593168503023,1262.5320899698356,1209.4714256551645,1236.0017578125,0.9184754271692281,17.029730235439747,0.316098337457138,5.895366256333534,-8.226647006821375
2025-11-19,1269.4210205078125,1272.0189924837014,1256.8307547967806,1267.02284561613,4101288,AXISBANK.NS,Axis Bank,Banking,0.3951277489293803,3.9947658089520166,5.8490333464604305,1249.4763671875,1235.50712890625,1238.2200500488282,1231.9238326857235,70.90269578258182,14.67812868828969,1267.9451090863106,1208.4949910113457,1238.2200500488282,0.8063220812958377,17.272393285743387,0.31486387712318376,4.872480754819386,
2025-11-20,1284.2095947265625,1286.3080740780129,1261.6270343540828,1274.017503489148,4617594,AXISBANK.NS,Axis Bank,Banking,1.1649857675142261,4.897167772631317,4.828714666471101,1261.467138671875,1241.1727661132813,1240.6132019042968,1236.9034290705654,74.45868901694259,17.066774931347027,1276.43185738888,1204.7945464197137,1240.6132019042968,0.8198049046119149,18.107468825140327,-1.4239021999962964,5.6878333156689775,
2025-11-21,1274.81689453125,1283.5101413654154,1272.0190034707464,1283.0105266743428,6363593,AXISBANK.NS,Axis Bank,Banking,-0.7313993162706756,2.7545152685399366,3.1116143509313687,1268.3018798828125,1246.4686889648438,1241.462548828125,1240.5142353049164,68.71478466171163,17.99445302720642,1279.6042020841653,1203.3208955720845,1241.462548828125,0.7586223370568569,17.900483899780674,0.7838231210441249,6.3803012457748,
2025-11-24,1268.0220947265625,1289.9052427423878,1265.623919797552,1278.2141857045526,10491953,AXISBANK.NS,Axis Bank,Banking,-0.533002020434159,1.5525034427188888,0.8102954316530742,1272.17890625,1251.6646850585937,1242.81650390625,1243.1340314403112,64.81925311733637,17.974166046355094,1282.672254353812,1202.9607534586883,1242.81650390625,0.6985128856178497,18.30018260482523,1.9542943212204955,8.510636249610947,
2025-11-25,1265.32421875,1275.7161067708207,1262.7261247685517,1268.1219878416655,5290156,AXISBANK.NS,Axis Bank,Banking,-0.21276253685029722,0.07112260863864073,1.964733732350754,1272.3587646484375,1256.0413208007812,1243.4260375976562,1245.2473826126625,63.28517139739734,17.538222709422826,1284.2552660607116,1202.5968091346008,1243.4260375976562,0.6705438796106845,18.29304705249649,2.305929958663011,7.131006056995037,
2025-11-26,1289.2056884765625,1291.8037824278044,1268.3218921582525,1270.9198641332523,4842021,AXISBANK.NS,Axis Bank,Banking,1.8873794852480419,1.5585584017535403,2.8785554182045647,1276.3156982421874,1262.8960327148438,1245.6193420410157,1249.433887933034,70.04375384719566,18.901880384208198,1291.0748862833598,1200.1637977986716,1245.6193420410157,0.7660496420860904,18.92827323511902,-0.26352186447471393,6.053333280308926,
2025-11-27,1286.3079833984375,1302.9950646537377,1280.0127897403663,1296.0004592453204,5924706,AXISBANK.NS,Axis Bank,Banking,-0.22476669968383156,0.16339923642463283,3.2897358922749254,1276.7353759765624,1269.1012573242188,1247.5428588867187,1252.9457065487868,68.39847932750135,19.523711144440995,1296.343840089219,1198.7418776842185,1247.5428588867187,0.77121855573445,19.72765324235052,-1.1885340217994256,7.721584996728326,
2025-11-28,1278.7137451171875,1288.0066268242583,1274.0174159821015,1286.3079857267776,3093636,AXISBANK.NS,Axis Bank,Banking,-0.5903903559072998,0.3056792393208996,2.4743682577458737,1277.51474609375,1272.9083129882813,1249.5962707519532,1255.3998054600631,64.1458985387118,19.182599869829346,1299.9887610971916,1199.2037804067147,1249.5962707519532,0.7577521556278318,19.492117105616167,-0.4297855997910549,8.431667755426297,
2025-12-01,1274.7169189453125,1288.0067189868005,1267.522515930765,1287.007489569433,4098016,AXISBANK.NS,Axis Bank,Banking,-0.31256613821013524,0.5279737826803244,2.995317390868646,1278.8537109375,1275.51630859375,1251.7396179199218,1257.2395305538964,61.962413714014836,18.3779071837605,1302.575142207296,1200.9040936325475,1251.7396179199218,0.7516673359390303,19.841849236640105,-1.0739210346659922,9.978835489382254,
2025-12-02,1257.030517578125,1280.012792541795,1254.1327280787625,1269.7206814849603,8115347,AXISBANK.NS,Axis Bank,Banking,-1.387476788322617,-0.655460556984222,2.0441240809547567,1277.194970703125,1274.7768676757812,1252.953680419922,1257.219624556204,53.31408575511708,16.127134090640084,1303.0718086887869,1202.835552151057,1252.953680419922,0.8289496931142292,20.534177631021343,3.2432527442818104,10.930048320025044,
2025-12-03,1269.720703125,1271.9190809099528,1254.0328509120543,1254.0328509120543,3582794,AXISBANK.NS,Axis Bank,Banking,1.0095367908270703,-1.5113946149731716,2.9991042395433487,1273.2979736328125,1274.8068359375,1255.156982421875,1258.410203467518,57.85896359615205,15.192245367967416,1304.1425717612456,1206.1713930825044,1255.156982421875,0.8366190771164261,20.270090394974755,2.2113911462443347,8.908478273242304,
2025-12-04,1279.0135498046875,1281.8114407353803,1268.421743240615,1269.7206681913929,3216108,AXISBANK.NS,Axis Bank,Banking,0.7318811654260848,-0.5670829760752949,4.35350089432236,1271.8390869140626,1274.2872314453125,1257.729998779297,1260.3724269282006,60.86354075517941,15.027961398805928,1306.0470761023478,1209.412921456246,1257.729998779297,0.8456048860104289,19.513532687211573,1.1093773726032374,7.210948149871732,
